EMPLOYEEID,NAME.FIRST,NAME.MIDDLE,NAME.LAST,NAME.INITIALS,SEX,LANGUAGE,PHONENUMBER,EMAILADDRESS,LOGINNAME,ADDRESSES.ADDRESSID,VALIDITY.STARTDATE,VALIDITY.ENDDATE,CURRENCY,SALARYAMOUNT,ACCOUNTNUMBER,BANKID,BANKNAME,EMPLOYEEPICURL
0000000019,Jonathan,,East,,M,E,,jonathan.east@itelo.info,EASTJ,1000000020,2000-01-01,9999-12-31,USD,55427,6655443322,0121000358,My Bank of San Francisco,/sap/hana/democontent/epm/data/images/male_12_EastJ.jpg
0000000020,James,,Smith,,M,E,,james.smith@itelo.info,SMITHJ,1000000021,2000-01-01,9999-12-31,USD,38761,456789012,0099999888,Deutsches Geldinstitut,/sap/hana/democontent/epm/data/images/male_14_SmithJ.jpg
0000000021,Megan,,Wang,,F,E,,megan.wang@itelo.info,WANGM,1000000022,2000-01-01,9999-12-31,USD,57985,54321098,0066665555,My Bank of London,/sap/hana/democontent/epm/data/images/female_4_WangM.jpg
0000000022,Anna,,Lerch,,F,E,,anna.lerch@itelo.info,LERCHA,1000000023,2000-01-01,9999-12-31,USD,58768,5566778899,0026005885,My Bank of New York,/sap/hana/democontent/epm/data/images/female_5_LerchA.jpg
0000000023,Clark,,Kent,,M,E,,clark.kent@itelo.info,KENTC,1000000024,2000-01-01,9999-12-31,USD,57000,3344556677,0026005885,My Bank of New York,/sap/hana/democontent/epm/data/images/male_18_KentC.jpg
0000000024,Catherine,,Jones,,F,E,,catherine.jones@itelo.info,JONESC,1000000025,2000-01-01,9999-12-31,USD,59000,4455667788,0026005885,My Bank of New York,/sap/hana/democontent/epm/data/images/female_12_JonesC.jpg
0000000025,Peter,,Douglas,,M,E,,peter.douglas@itelo.info,DOUGLASP,1000000026,2000-01-01,9999-12-31,USD,1500000,666777888,0510000655,My Bank of Antioch,/sap/hana/democontent/epm/data/images/male_8_DouglasP.jpg
0000000026,Frank,,Brown,,M,E,,frank.brown@itelo.info,BROWNF,1000000027,2000-01-01,9999-12-31,USD,53021,6677889900,0026005885,My Bank of New York,/sap/hana/democontent/epm/data/images/male_17_BrownF.jpg
0000000027,Barbara,,Ingalls,,F,E,,barbara.ingalls@itelo.info,INGALLSB,1000000028,2000-01-01,9999-12-31,USD,63443,4433221100,0121000358,My Bank of San Francisco,/sap/hana/democontent/epm/data/images/female_3_IngallsB.jpg
0000000028,Peter,,Fuchs,,M,E,,peter.fuchs@itelo.info,FUCHSP,1000000029,2000-01-01,9999-12-31,USD,71344,65432109,0066665555,My Bank of London,/sap/hana/democontent/epm/data/images/male_20_FuchsP.jpg
0000000029,Mary,,Watson,,F,E,,mary.watson@itelo.info,WATSONM,1000000030,2000-01-01,9999-12-31,USD,64222,43210987,0066665555,My Bank of London,/sap/hana/democontent/epm/data/images/female_13_WatsonM.jpg
0000000030,Karl,,Kessler,,M,E,,karl.kessler@itelo.info,KESSLERK,1000000031,2000-01-01,9999-12-31,USD,97455,7788990011,0026005885,My Bank of New York,/sap/hana/democontent/epm/data/images/male_21_KesslerK.jpg
0000000031,Nora,,Dwyer,,F,E,,nora.dwyer@itelo.info,DWYERN,1000000032,2000-01-01,9999-12-31,USD,50000,0013M02606,0000010100,établissement financier de Paris,/sap/hana/democontent/epm/data/images/female_14_DwyerN.jpg
0000000032,Richard,,Fisher,,F,E,,fisher.richard@itelo.info,FISHERR,1000000033,2000-01-01,9999-12-31,EUR,67234,567890123,0099999888,Deutsches Geldinstitut,/sap/hana/democontent/epm/data/images/male_25_FisherR.jpg
0000000033,EPM,TEST,USER,,F,E,,fisher.richard@itelo.info,EPM_USER,1000000033,2000-01-01,9999-12-31,EUR,67234,567890123,0099999888,Deutsches Geldinstitut,/sap/hana/democontent/epm/data/images/COMPANY_LOGO.JPG
